"opolskie",351518.6,478646.1,234524.0,370446.3
"świętokrzyskie",549668.1,702048.9,258677.4,387177.4
"kujawsko-pomorskie",383436.9,550915.8,496075.4,657775.3
"mazowieckie",517613.9,781450.4,352474.6,627243.2
"pomorskie",350809.9,542048.1,626314.8,774923.7
"śląskie",430959.5,569089.5,169612.2,359185.8
"warmińsko-mazurskie",508443.8,748696.6,586514.6,732337.0
"zachodniopomorskie",171677.6,861895.7,133223.7,774923.7
"dolnośląskie",205889.2,415844.4,250201.1,441870.8
"wielkopolskie",281949.4,507167.3,360241.8,645513.7
"łódzkie",435569.2,614634.2,330958.9,503164.5
"podlaskie",672078.5,833418.1,498415.0,734224.8
"małopolskie",505961.5,675319.1,146222.0,295276.0
"lubuskie",196217.3,321875.1,396078.6,588750.1
"podkarpackie",652708.4,824068.4,133223.7,332618.4
"lubelskie",681015.8,861895.7,274858.4,499342.6
